date,produit,categorie,quantite,prix_unitaire,ville
2026-03-01,Riz 25kg,Alimentation,2,28.5,Kinshasa
2026-03-01,Huile 5L,Alimentation,1,12.0,Kinshasa
2026-03-01,Cahier 200p,Scolaire,10,2.5,Matadi
2026-03-02,Stylo bleu,Scolaire,25,0.8,Kinshasa
2026-03-02,Chargeur USB,Electronique,3,7.5,Goma
2026-03-02,Ecouteurs,Electronique,4,5.0,Lubumbashi
2026-03-03,Farine 10kg,Alimentation,5,9.2,Kinshasa
2026-03-03,Sucre 5kg,Alimentation,3,6.8,Kikwit
2026-03-03,Lampe LED,Maison,6,3.5,Goma
2026-03-04,Savon lessive,Maison,8,1.7,Kinshasa
2026-03-04,Biscuits,Alimentation,15,1.2,Matadi
2026-03-04,Clavier USB,Electronique,2,11.0,Lubumbashi
2026-03-05,Souris USB,Electronique,3,6.5,Kinshasa
2026-03-05,Eau 1.5L,Boisson,20,0.9,Kikwit
2026-03-05,Jus mangue,Boisson,12,1.4,Goma
2026-03-06,Riz 25kg,Alimentation,1,28.5,Matadi
2026-03-06,Huile 5L,Alimentation,2,12.0,Kisangani
2026-03-06,Cahier 200p,Scolaire,7,2.5,Kinshasa
2026-03-06,Stylo bleu,Scolaire,30,0.8,Goma
2026-03-07,Chargeur USB,Electronique,2,7.5,Kinshasa
2026-03-07,Ecouteurs,Electronique,5,5.0,Kikwit
2026-03-07,Farine 10kg,Alimentation,4,9.2,Lubumbashi
2026-03-07,Sucre 5kg,Alimentation,2,6.8,Kinshasa
2026-03-08,Lampe LED,Maison,10,3.5,Matadi
2026-03-08,Savon lessive,Maison,6,1.7,Kisangani
2026-03-08,Biscuits,Alimentation,18,1.2,Kinshasa
2026-03-08,Clavier USB,Electronique,1,11.0,Goma
2026-03-09,Souris USB,Electronique,4,6.5,Lubumbashi
2026-03-09,Eau 1.5L,Boisson,24,0.9,Kinshasa
2026-03-09,Jus mangue,Boisson,10,1.4,Matadi
2026-03-10,Riz 25kg,Alimentation,3,28.5,Kikwit
2026-03-10,Huile 5L,Alimentation,1,12.0,Goma
2026-03-10,Cahier 200p,Scolaire,12,2.5,Kisangani
2026-03-10,Stylo bleu,Scolaire,20,0.8,Lubumbashi
2026-03-11,Chargeur USB,Electronique,5,7.5,Matadi
2026-03-11,Ecouteurs,Electronique,6,5.0,Kinshasa
2026-03-11,Farine 10kg,Alimentation,2,9.2,Goma
2026-03-11,Sucre 5kg,Alimentation,4,6.8,Kisangani
2026-03-12,Lampe LED,Maison,7,3.5,Kinshasa
2026-03-12,Savon lessive,Maison,9,1.7,Lubumbashi
2026-03-12,Biscuits,Alimentation,14,1.2,Kikwit
2026-03-12,Clavier USB,Electronique,3,11.0,Kinshasa
2026-03-13,Souris USB,Electronique,2,6.5,Goma
2026-03-13,Eau 1.5L,Boisson,30,0.9,Kisangani
2026-03-13,Jus mangue,Boisson,16,1.4,Kinshasa
2026-03-14,Riz 25kg,Alimentation,2,28.5,Lubumbashi
2026-03-14,Huile 5L,Alimentation,3,12.0,Matadi
2026-03-14,Cahier 200p,Scolaire,9,2.5,Goma
2026-03-14,Stylo bleu,Scolaire,22,0.8,Kisangani
2026-03-15,Chargeur USB,Electronique,4,7.5,Kikwit
2026-03-15,Ecouteurs,Electronique,3,5.0,Matadi
2026-03-15,Farine 10kg,Alimentation,6,9.2,Kinshasa
2026-03-15,Sucre 5kg,Alimentation,5,6.8,Lubumbashi
2026-03-16,Lampe LED,Maison,8,3.5,Kisangani
2026-03-16,Savon lessive,Maison,10,1.7,Goma
2026-03-16,Biscuits,Alimentation,16,1.2,Matadi
2026-03-16,Clavier USB,Electronique,2,11.0,Kikwit
2026-03-17,Souris USB,Electronique,5,6.5,Kisangani
2026-03-17,Eau 1.5L,Boisson,28,0.9,Lubumbashi
2026-03-17,Jus mangue,Boisson,14,1.4,Goma
2026-03-18,Riz 25kg,Alimentation,1,28.5,Kisangani
2026-03-18,Huile 5L,Alimentation,2,12.0,Kinshasa
2026-03-18,Cahier 200p,Scolaire,11,2.5,Lubumbashi
2026-03-18,Stylo bleu,Scolaire,18,0.8,Matadi
2026-03-19,Chargeur USB,Electronique,3,7.5,Goma
2026-03-19,Ecouteurs,Electronique,7,5.0,Kisangani
2026-03-19,Farine 10kg,Alimentation,4,9.2,Kikwit
2026-03-19,Sucre 5kg,Alimentation,3,6.8,Matadi
2026-03-20,Lampe LED,Maison,9,3.5,Lubumbashi
2026-03-20,Savon lessive,Maison,7,1.7,Kikwit
2026-03-20,Biscuits,Alimentation,20,1.2,Goma
2026-03-20,Clavier USB,Electronique,1,11.0,Kisangani